filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011031
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/c/coast/ADE_train_00000568
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/c/coast/ADE_train_00005831
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/c/coast/ADE_train_00005873
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011023
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011024
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011025
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011026
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011027
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011028
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011029
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011030
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011031
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011032
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011033
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011034
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011035
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011036
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011037
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011038
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011039
category,beacon
filepath,../ADE20K/ADE20K_2016_07_26/images/training/l/lighthouse/ADE_train_00011040
category,beacon
